Starting jump,Gear used
1,Student Vector / Manta 288
18,Pegasus
21,Cruiselite
22,Swift Reserve
23,Student Vector / Manta 288
24,Vector / Fury 220
148,Student Vector / [unknown]
149,Vector / Fury 220
153,Student Strong / [unknown]
154,Vector / Fury 220
287,Excalibur
289,Vector / Fury 220
409,Robo-Z
410,Vector / Fury 220
438,Student Vector / Manta 288
439,Vector / Fury 220
483,Monarch 175
484,Ariel 170
485,Vector / Fury 220
486,Sabre 170
488,Sabre 150
489,Monarch 175
490,Monarch 155
491,Vector / Fury 220
494,Monarch 155
495,Vector / Fury 220
497,Sabre 170
498,Vector / Fury 220
500,Raven 2
501,Vector / Fury 220
530,Racer / Sabre 170
1443,Racer / Storm 150
1450,Racer / Sabre 170
1454,Racer / Storm 135
1460,Racer / Sabre 170
1488,Racer / Storm 150
