Jump #,Date,Drop Zone,Aircraft,Jump Type,Exit Alt,Deploy Alt,Delay,Notes
1569,2014-04-20,Mile-Hi,Twin Otter,RW,11451,3000,,4-way w/Derek(Sinatra!)
1570,2014-04-25,Mile-Hi,Twin Otter,Tracking,12500,3000,,Tracking dive w/Jimmy/Jon/Derek
1571,2014-04-26,Mile-Hi,Twin Otter,RW,12500,3000,,3-way w/John/Walt
1572,2014-04-26,Mile-Hi,Twin Otter,RW,12000,3500,,6-way w/John/Walt/Blake/Aaron/Aaron
1573,2014-04-26,Mile-Hi,Twin Otter,RW,12400,3000,,4-way w/Blake/Aaron/Aaron
1574,2014-04-26,Mile-Hi,Twin Otter,RW,12400,3000,,4-way w/Blake/Aaron/Aaron
1575,2014-05-10,Mile-Hi,Twin Otter,RW,12725,2700,,9-way w/JimM
1576,2014-05-10,Mile-Hi,Twin Otter,RW,11055,2700,,10-way w/JimM
1577,2014-05-23,Mile-Hi,Twin Otter,RW,12443,2700,,2-way w/Drew - 12 points
1578,2014-05-23,Mile-Hi,King Air,RW,12500,2700,,2-way w/Drew
1579,2014-05-23,Mile-Hi,King Air,RW,4480,2800,,3-way exit w/Leanne/Jenny
1580,2014-05-31,Mile-Hi,Twin Otter,RW,12706,2500,,4-way w/John/Jon/Erik - 6 points
1581,2014-06-01,Mile-Hi,Twin Otter,RW,12927,2500,,8-way w/CraigGirard
1582,2014-06-01,Mile-Hi,Twin Otter,RW,12456,2500,,8-way w/CraigGirard
1583,2014-06-28,Mile-Hi,Twin Otter,RW,12055,3000,,Hoop dive
1584,2014-06-28,Mile-Hi,Twin Otter,RW,12691,3000,,Oppenheimer and horny gorilla (attempt)
1585,2014-06-28,Mile-Hi,Twin Otter,RW,12791,2700,,No-show 7-way speed-star with hog-flops (backloops)
1586,2014-06-29,Mile-Hi,Twin Otter,RW,12108,3000,,9-way
1587,2014-06-29,Mile-Hi,Twin Otter,RW,12516,2600,,10-way flip-flop dive
1588,2014-07-06,Mile-Hi,Twin Otter,RW,12198,2800,,4-way w/Tom/John/Brick - ~14 points
1589,2014-07-06,Mile-Hi,Twin Otter,RW,11647,2600,,4-way w/Tom/John/Brick - 10 points
1590,2014-07-06,Mile-Hi,Twin Otter,RW,12284,2600,,4-way w/Tom/John/Brick - 10 points
1591,2014-07-20,Mile-Hi,Twin Otter,RW,12539,3000,,6-way
1592,2014-07-20,Mile-Hi,Twin Otter,RW,12482,3100,,6-way
1593,2014-07-20,Mile-Hi,Twin Otter,RW,12417,2900,,5-way
1594,2014-07-20,Mile-Hi,Twin Otter,RW,12424,2700,,5-way
1595,2014-08-16,Mile-Hi,Twin Otter,RW,12213,2600,,5-way (Rookie Big-Way)
1596,2014-08-16,Mile-Hi,Twin Otter,RW,11348,2700,,6-way (Rookie Big-Way)
1597,2014-08-16,Mile-Hi,Twin Otter,RW,12738,3100,,~6-way (Rookie Big-Way)
1598,2014-08-16,Mile-Hi,Twin Otter,RW,12178,3000,,~6-way (Rookie Big-Way)
1599,2014-08-23,Mile-Hi,Twin Otter,RW,12422,2900,,5-way hoop dive
1600,2014-08-23,Mile-Hi,Twin Otter,RW,12121,2700,,13-way flip-flop attempt
1601,2014-10-11,Mile-Hi,Twin Otter,RW,10462,2700,,8-way
1602,2014-10-11,Mile-Hi,Twin Otter,RW,12234,2700,,8-way
1603,2014-10-11,Mile-Hi,Twin Otter,RW,12576,2600,,8-way
1604,2014-10-11,Mile-Hi,Twin Otter,RW,11511,2600,,8-way
1605,2014-10-11,Mile-Hi,Twin Otter,RW,8291,2600,,6-way
1606,2015-02-07,Mile-Hi,Twin Otter,RW,12714,2900,,10-way
1607,2015-03-15,Mile-Hi,Twin Otter,RW,11267,2300,,12-way
1608,2015-03-15,Mile-Hi,Twin Otter,RW,11801,2600,,10-way
1609,2015-03-15,Mile-Hi,Twin Otter,RW,12217,2700,,8-way
1610,2015-03-15,Mile-Hi,Twin Otter,RW,12197,2600,,10-way
1611,2015-05-03,Mile-Hi,Twin Otter,RW,12550,2900,,8-way
1612,2015-05-03,Mile-Hi,Twin Otter,RW,12369,2500,,8-way
1613,2015-05-03,Mile-Hi,Twin Otter,RW,12643,2900,,8-way
1614,2015-05-03,Mile-Hi,Twin Otter,RW,9226,2900,,8-way
1615,2015-06-21,Mile-Hi,Twin Otter,RW,12849,2800,,8-way
1616,2015-06-21,Mile-Hi,Twin Otter,RW,12388,2800,,8-way
1617,2015-06-21,Mile-Hi,Twin Otter,RW,11800,2700,,8-way
1618,2015-06-21,Mile-Hi,Twin Otter,RW,12000,2600,,8-way
1619,2015-06-21,Mile-Hi,Twin Otter,RW,12200,2800,,8-way
1620,2015-08-08,Mile-Hi,Twin Otter,RW,12700,3200,,4-way w/Tripp/Carter/Powell
1621,2015-08-08,Mile-Hi,Twin Otter,RW,12400,3000,,6-way w/Tripp/Carter/Powell/Dirk/Will (Carter's 100th jump!)
1622,2015-08-16,Mile-Hi,Twin Otter,RW,12500,2500,,10-way
1623,2015-08-16,Mile-Hi,Twin Otter,RW,12500,2500,,10-way
1624,2015-08-29,Mile-Hi,Twin Otter,RW,11500,2500,,3-way (mentor meet)
1625,2015-08-29,Mile-Hi,Twin Otter,RW,12500,2500,,3-way (mentor meet)
1626,2015-08-29,Mile-Hi,Twin Otter,RW,12500,2500,,3-way (mentor meet)
1627,2015-08-29,Mile-Hi,Twin Otter,RW,12500,2500,,3-way (mentor meet)
1628,2015-08-29,Mile-Hi,Twin Otter,RW,12500,2500,,10-way
1629,2015-09-12,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Jon/Eric/Steve
1630,2015-09-12,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Jon/Eric/Steve
1631,2015-09-12,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Jon/Eric/Steve
1632,2015-09-12,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Jon/Eric/Steve
1633,2015-09-12,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Jon/Eric/Steve
1634,2015-10-17,Mile-Hi,Twin Otter,RW,12500,2500,,11-way w/JimM
1635,2015-10-17,Mile-Hi,Twin Otter,RW,12500,2500,,11-way w/JimM
1636,2015-10-17,Mile-Hi,Twin Otter,RW,12500,2500,,10-way w/JimM
1637,2015-10-17,Mile-Hi,Twin Otter,RW,12500,2500,,10-way w/JimM
1638,2015-10-24,Mile-Hi,Twin Otter,RW,12500,2500,,13-way w/JimM
1639,2015-10-24,Mile-Hi,Twin Otter,RW,12500,2000,,13-way w/JimM
1640,2015-10-24,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Tad/Nena
1641,2015-11-01,Mile-Hi,Twin Otter,RW,12500,2500,,5-way w/JimM/Tad/LeAnne/Rob
1642,2015-11-01,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/JimM/Tad/LeAnne
1643,2015-11-01,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/JimM/Tad/LeAnne
1644,2015-11-01,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/JimM/Tad/LeAnne
1645,2015-11-01,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/JimM/Tad/LeAnne
1646,2015-11-15,Mile-Hi,Twin Otter,RW,12500,2500,,8-way w/JimM
1647,2015-11-15,Mile-Hi,Twin Otter,RW,12500,2500,,8-way w/JimM
1648,2015-11-15,Mile-Hi,Twin Otter,RW,12500,2500,,10-way w/JimM
1649,2015-11-15,Mile-Hi,Twin Otter,RW,12500,3000,,10-way w/JimM
1650,2015-11-15,Mile-Hi,Twin Otter,RW,12500,2500,,7-way w/JimM
1651,2016-03-05,Mile-Hi,Twin Otter,RW,12500,2500,,13-way w/JimM
1652,2016-03-05,Mile-Hi,Twin Otter,RW,12500,2200,,13-way w/JimM
1653,2016-03-05,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/JimM
1654,2016-03-05,Mile-Hi,Twin Otter,RW,12500,2300,,10-way w/JimM
1655,2016-04-23,Mile-Hi,Twin Otter,RW,12500,2500,,14-way w/JimM
1656,2016-04-23,Mile-Hi,Twin Otter,RW,12500,2500,,14-way w/JimM
1657,2016-04-23,Mile-Hi,Twin Otter,RW,12200,2700,,10-way w/JimM
1658,2016-05-22,Mile-Hi,Twin Otter,Hybrid,12500,3800,,5-way w/Katya/LeAnne/Gary/Monte (Katya's 300th jump!)
1659,2016-06-04,Mile-Hi,Twin Otter,RW,12500,2900,,14-way w/JimM
1660,2016-06-04,Mile-Hi,Twin Otter,RW,12500,2800,,14-way w/JimM
1661,2016-06-04,Mile-Hi,Twin Otter,RW,12500,2700,,12-way w/JimM
1662,2016-06-04,Mile-Hi,Twin Otter,RW,12500,2800,,13-way w/JimM
1663,2016-06-04,Mile-Hi,Twin Otter,RW,12500,2700,,11-way w/JimM
1664,2016-06-04,Mile-Hi,Twin Otter,RW,12500,2800,,10-way w/JimM
1665,2016-06-18,Mile-Hi,Twin Otter,RW,12200,2900,,4-way w/Eric/Jon/Steve
1666,2016-06-18,Mile-Hi,Twin Otter,RW,12200,2900,,4-way w/Eric/Jon/Steve
1667,2016-06-18,Mile-Hi,Twin Otter,RW,12200,2900,,4-way w/Eric/Jon/Steve
1668,2016-06-18,Mile-Hi,Twin Otter,RW,12200,2900,,4-way w/Eric/Jon/Steve
1669,2016-06-18,Mile-Hi,Twin Otter,RW,12200,2900,,4-way w/Eric/Jon/Steve
1670,2016-06-18,Mile-Hi,Twin Otter,RW,12200,2900,,4-way w/Eric/Jon/Steve
1671,2016-07-03,Mile-Hi,Twin Otter,RW,12100,2800,,6-way w/JimM
1672,2016-07-03,Mile-Hi,Twin Otter,RW,12100,3000,,7-way w/JimM
1673,2016-07-03,Mile-Hi,Twin Otter,RW,12100,2800,,7-way w/JimM
1674,2016-07-03,Mile-Hi,Twin Otter,RW,12100,2700,,7-way w/JimM
1675,2016-07-09,Mile-Hi,Twin Otter,RW,12100,2700,,4-way (mentor meet)
1676,2016-07-09,Mile-Hi,Twin Otter,RW,12100,2700,,4-way (mentor meet)
1677,2016-07-09,Mile-Hi,Twin Otter,RW,12100,2800,,4-way (mentor meet)
1678,2016-07-09,Mile-Hi,Twin Otter,RW,12100,2700,,4-way (mentor meet)
1679,2016-07-09,Mile-Hi,Twin Otter,RW,12100,3200,,19-way (mentor meet)
1680,2016-08-07,Mile-Hi,Twin Otter,RW,12200,2800,,5-way w/Jon/Steve/Tad/Tom
1681,2016-08-07,Mile-Hi,Twin Otter,RW,12200,2800,,6-way w/Jon/Steve/Tad/Tom/John
1682,2016-08-07,Mile-Hi,Twin Otter,RW,12200,2800,,6-way w/Jon/Steve/Tad/Tom/John
1683,2016-08-07,Mile-Hi,Twin Otter,RW,12200,2800,,4-way w/Jon/Tad/John
1684,2016-08-21,Mile-Hi,Twin Otter,RW,12500,2800,,4-way w/Jon/Eric/Kevin
1685,2016-08-21,Mile-Hi,Twin Otter,RW,12500,2800,,4-way w/Jon/Eric/Kevin
1686,2016-08-21,Mile-Hi,Twin Otter,RW,12500,2800,,4-way w/Jon/Eric/Kevin
1687,2016-08-21,Mile-Hi,Twin Otter,RW,12500,2800,,4-way w/Jon/Eric/Kevin
1688,2016-08-21,Mile-Hi,Twin Otter,RW,12500,3000,,4-way w/Jon/Eric/Kevin
1689,2016-08-21,Mile-Hi,Twin Otter,RW,12500,3000,,4-way w/Jon/Eric/Kevin
1690,2016-09-03,Mile-Hi,Twin Otter,RW,14800,2500,,16-way w/Ponce
1691,2016-09-03,Mile-Hi,Twin Otter,RW,14800,2500,,16-way w/Ponce
1692,2016-09-03,Mile-Hi,Twin Otter,RW,10800,2500,,15-way w/Ponce
1693,2016-09-03,Mile-Hi,Twin Otter,RW,15800,2500,,15-way w/Ponce
1694,2016-09-04,Mile-Hi,Twin Otter,RW,15900,2500,,15-way w/Ponce
