Jump #,Date,Drop Zone,Aircraft,Jump Type,Exit Alt,Depl Alt,Delay (s),Notes

1208,1999-03-20,Mile-Hi,King Air,RW,12500,2500,,2-way w/Joanne
1209,1999-05-07,Mile-Hi,Twin Otter,RW,12500,2500,,9-way
1210,1999-05-07,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Randy/Neil/Helaine
1211,1999-05-09,Mile-Hi,Twin Otter,RW,12500,2500,,6-way w/Mary/Brian/Randy/Jane/Gregory
1212,1999-05-09,Mile-Hi,Twin Otter,RW,12500,2500,,6-way repeat
1213,1999-05-09,Mile-Hi,Twin Otter,RW,12500,2500,,11-way

1214,1999-05-09,Mile-Hi,Twin Otter,RW,12500,2500,,12-way!
1215,1999-05-15,Mile-Hi,King Air,RW,12500,2500,,6-way
1216,1999-05-15,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1217,1999-05-15,Mile-Hi,Twin Otter,RW,12500,2500,,9-way
1218,1999-05-15,Mile-Hi,Twin Otter,RW,12500,2500,,10-way
1219,1999-05-15,Mile-Hi,Twin Otter,RW,12500,2500,,9-way
1220,1999-05-15,Mile-Hi,Twin Otter,RW,11000,2500,,10-way
1221,1999-05-23,Mile-Hi,Twin Otter,Hop and Pop,2500,,4,
1222,1999-05-30,Mile-Hi,King Air,RW,12500,2500,,4-way w/Neal/Randy/Dave
1223,1999-05-30,Mile-Hi,King Air,RW,9000,2500,,4-way

1224,1999-05-30,Mile-Hi,King Air,RW,10500,2500,,4-way
1225,1999-05-30,Mile-Hi,King Air,RW,12500,2500,,4-way w/Annie/Mike/Neal
1226,1999-06-05,Mile-Hi,Twin Otter,RW,12500,2500,,3-way w/Courtney/Brian
1227,1999-06-05,Mile-Hi,Twin Otter,RW,12500,2500,,3-way w/Courtney/Brian
1228,1999-06-19,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1229,1999-06-19,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1230,1999-06-19,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1231,1999-06-19,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1232,1999-06-19,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1233,1999-06-19,Mile-Hi,Twin Otter,RW,12500,2500,,10-way
1234,1999-06-19,Mile-Hi,Twin Otter,RW,12500,2500,,14-way
1235,1999-06-20,Mile-Hi,Twin Otter,RW,12500,2500,,8-way / Kendra's 200th

1236,1999-06-20,Mile-Hi,Twin Otter,RW,12500,2500,,2-way w/Joanne - fun!
1237,1999-07-03,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Courtney/Brian
1238,1999-07-03,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/C/B/R
1239,1999-07-03,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/N/R/B
1240,1999-07-03,Mile-Hi,Twin Otter,RW,12500,2500,,4-way
1241,1999-07-03,Mile-Hi,King Air,RW,12500,2500,,4-way
1242,1999-07-10,Mile-Hi,Twin Otter,RW,12500,2500,,5-way
1243,1999-07-10,Mile-Hi,Twin Otter,RW,12500,2500,,9-way
1244,1999-07-10,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1245,1999-07-10,Mile-Hi,Twin Otter,RW,12500,2500,,8-way
1246,1999-07-11,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Gregory/Neil/Brian
1247,1999-07-11,Mile-Hi,Twin Otter,RW,12500,2500,,6-way w/Alan/etc.

1248,1999-07-11,Mile-Hi,Twin Otter,RW,12500,2500,,6-way
1249,1999-07-11,Mile-Hi,Twin Otter,RW,12500,2500,,5-way
1250,1999-07-11,Mile-Hi,Twin Otter,RW,8100,2500,,6-way
1251,1999-07-24,Mile-Hi,Twin Otter,RW,12500,2500,,4-way w/Brian
1252,1999-07-24,Mile-Hi,Twin Otter,RW,12500,2500,,4-way
1253,1999-07-24,Mile-Hi,Twin Otter,RW,12500,2500,,4-way
1254,1999-07-24,Mile-Hi,Twin Otter,RW,12500,2500,,4-way
1255,1999-07-31,Mile-Hi,Twin Otter,RW,12500,2500,,11-way "big-way"
1256,1999-08-07,Mile-Hi,Twin Otter,RW,12500,2500,,8-way zoo
1257,1999-08-07,Mile-Hi,Twin Otter,RW,12500,2500,,6-way
1258,1999-08-07,,,RW,12500,2500,,3-way
1259,1999-08-07,Mile-Hi,Twin Otter,RW,6000,2500,,3-way

1260,1999-08-14,Elsinore,Twin Otter,RW,13000,2500,,11-way
1261,1999-08-22,Mile-Hi,King Air,RW,12500,2500,,8-way w/Jay
1262,1999-08-22,Mile-Hi,King Air,RW,12500,2500,,8-way
