Jump #,Date,Drop Zone,Aircraft,Gear,Jump Type,Exit Alt,Depl Alt,Altitude Unit,Dist to Target,Delay (s),Cutaway,Notes
1569,2014-04-20,Mile-Hi,Twin Otter,Racer / Storm 150,RW,11451,3000,Feet,0,51,No,4-way w/Derek(Sinatra!)
1558,2013-08-25,Mile-Hi,Twin Otter,Racer / Storm 150,RW,14800,2500,Feet,0,73,No,13-way
1559,2013-09-24,Mile-Hi,Cessna 206,Racer / Storm 150,Hop and Pop,5000,3000,Feet,0,14,No,
1560,2014-02-22,Eloy,Twin Otter,Racer / Storm 150,RW,13000,2500,Feet,0,62,No,3-way w/Freddie(LO)
1561,2014-02-22,Eloy,Twin Otter,Racer / Storm 150,RW,13200,2500,Feet,0,64,No,4-way w/Drew(Wisconsin)
1562,2014-02-22,Eloy,Twin Otter,Racer / Storm 150,RW,13200,2500,Feet,0,64,No,7-way
1563,2014-02-23,Eloy,Twin Otter,Racer / Storm 150,RW,13000,2500,Feet,0,62,No,3-way
1564,2014-02-23,Eloy,Twin Otter,Racer / Storm 150,RW,13000,2500,Feet,0,62,No,3-way
1565,2014-02-23,Eloy,Twin Otter,Racer / Storm 150,RW,13000,2500,Feet,0,62,No,4-way
1566,2014-02-23,Eloy,Twin Otter,Racer / Storm 150,RW,13000,2500,Feet,0,62,No,4-way
1567,2014-04-12,Mile-Hi,Twin Otter,Racer / Storm 150,RW,12500,2500,Feet,0,60,No,8-way
1568,2014-04-12,Mile-Hi,Twin Otter,Racer / Storm 150,RW,12500,2500,Feet,0,60,No,8-way
1570,2014-04-25,Mile-Hi,Twin Otter,Racer / Storm 150,Tracking,12500,3000,Feet,0,68,No,Tracking dive w/Jimmy/Jon/Derek
1571,2014-04-26,Mile-Hi,Twin Otter,Racer / Storm 150,RW,12500,3000,Feet,0,57,No,3-way w/John/Walt
1572,2014-04-26,Mile-Hi,Twin Otter,Racer / Storm 150,RW,12000,3500,Feet,0,51,No,6-way w/John/Walt/Blake/Aaron/Aaron
1573,2014-04-26,Mile-Hi,Twin Otter,Racer / Storm 150,RW,12400,3000,Feet,0,56,No,4-way w/Blake/Aaron/Aaron
1574,2014-04-26,Mile-Hi,Twin Otter,Racer / Storm 150,RW,12400,3000,Feet,0,56,No,4-way w/Blake/Aaron/Aaron
1575,2014-05-10,Mile-Hi,Twin Otter,Racer / Storm 150,RW,12725,2700,Feet,0,60,No,9-way w/JimM
1576,2014-05-10,Mile-Hi,Twin Otter,Racer / Storm 150,RW,11055,2700,Feet,0,50,No,10-way w/JimM
1,1989-08-05,Turners Falls,Cessna 182,Student Vector / Manta 288,Static Line,3500,3500,Feet,0,0,No,"FJC (First Jump) - Good exit, arch, canopy - go to DRCP"
2,1989-08-06,Turners Falls,Cessna 206,Student Vector / Manta 288,Static Line,3200,3200,Feet,0,0,No,DRCP - Nice job! Cleared a malfunction!! (line over)
3,1989-08-19,Turners Falls,Cessna 206,Student Vector / Manta 288,Static Line,3200,3200,Feet,0,0,No,"DRCP - Good jump, nice loud count, good job."
4,1989-08-19,Turners Falls,Cessna 182,Student Vector / Manta 288,Static Line,3200,3200,Feet,0,0,No,"DRCP - Good exit, good arch, good DRC."
5,1989-08-26,Turners Falls,Cessna 206,Student Vector / Manta 288,Static Line,3500,3500,Feet,0,0,No,DRCP - EXCELLENT!! Go to free fall.
6,1989-08-26,Turners Falls,Cessna 206,Student Vector / Manta 288,Hop and Pop,3800,3655,Feet,0,3,No,FFF - Good jump - solid and stable. Go to 5!!!!
7,1989-08-27,Turners Falls,Cessna 206,Student Vector / Manta 288,Hop and Pop,3500,3098,Feet,0,5,No,"5 sec delay - Nice arch, work on exit. OK for 10 sec."
8,1989-09-09,Turners Falls,Cessna 206,Student Vector / Manta 288,Hop and Pop,4500,3221,Feet,0,10,No,"10 sec delay - Weak arch on exit, corrected, nice solid freefall - good one!"
9,1989-09-10,Turners Falls,Cessna 206,Student Vector / Manta 288,Hop and Pop,4500,3221,Feet,0,10,No,10 sec delay (Relaxed Arch) - Excellent!! Nice relaxed arch. Work on leg position. Slight left turn. 15's next.
10,1989-09-24,Turners Falls,Cessna 206,Student Vector / Manta 288,RW,5000,2841,Feet,0,15,No,"Relaxed Arch 180 turn RT - Good Job! 180 to 270 > turn RT. Stopped turn. 3500' good look, reach, & pull. Do 360 turn next & spot."
11,1989-09-30,Turners Falls,Cessna 206,Student Vector / Manta 288,RW,6000,3841,Feet,0,15,No,"360 L, track, wave off - So-so exit, good 360 L (270). Nice track, good wave-off - BUT - pulled at ~2300'. ALTITUDE AWARENESS!! OK 30's."
12,1989-10-01,Turners Falls,Cessna 206,Student Vector / Manta 288,RW,7500,2701,Feet,0,30,No,"Diving exit, back loop, delta, spotting - Good spotting. Good back loop + altitude awareness! Potatoe chipped a little on delta. Good wave off and pull. Do another 30 sec unless otherwise instructed."
13,1989-10-07,Turners Falls,Cessna 206,Student Vector / Manta 288,RW,8000,3201,Feet,0,30,No,"360 L, 360 R (30 sec) - Good stable bomb out, nice 360 L, 360 R. Pinned right after. Work on body position and legs a bit. Good alt. aware. On to 45's."
14,1989-10-08,Turners Falls,Cessna 206,Student Vector / Manta 288,RW,10000,2561,Feet,0,45,No,"Pin 360 L Pin 360 R - Good stable bomb out, kept right on heading until pin. Dropped left leg, spinning formation. Broke. 360 L no redock. Wave off, pull. Didn't 180 & track! Spot next. Make sure 180 & track."
